Area,CancerType,Year,AgeAdjustedRate,DeathCount,Population
'United States','Melanomas of the Skin','1999','2.6','7215','279040168'
'United States','Melanomas of the Skin','2000','2.7','7420','282162411'
'United States','Melanomas of the Skin','2001','2.7','7542','284968955'
'United States','Melanomas of the Skin','2002','2.6','7513','287625193'
'United States','Melanomas of the Skin','2003','2.7','7818','290107933'
'United States','Melanomas of the Skin','2004','2.7','7952','292805298'
'United States','Melanomas of the Skin','2005','2.8','8345','295516599'
'United States','Melanomas of the Skin','2006','2.7','8441','298379912'
'United States','Melanomas of the Skin','2007','2.7','8461','301231207'
'United States','Melanomas of the Skin','2008','2.7','8623','304093966'
'United States','Melanomas of the Skin','2009','2.8','9199','306771529'
'United States','Melanomas of the Skin','2010','2.7','9154','309326085'
'United States','Melanomas of the Skin','2011','2.7','9128','311580009'
'United States','Melanomas of the Skin','2012','2.7','9251','313874218'
'United States','Melanomas of the Skin','2013','2.7','9394','316057727'
'United States','Melanomas of the Skin','2014','2.6','9324','318386421'
'United States','Melanomas of the Skin','2015','2.4','8885','320742673'
'United States','Melanomas of the Skin','2016','2.2','8188','323071342'
'United States','Melanomas of the Skin','2017','2.1','8056','325147121'
